,draw,country,artist,song,language,place,points
23,24,Italy,Måneskin,"""Zitti e buoni""",Italian,1,524
19,20,France,Barbara Pravi,"""Voilà""",French,2,499
10,11,Switzerland,Gjon's Tears,"""Tout l'univers""",French,3,432
11,12,Iceland,Daði og Gagnamagnið,"""10 Years""",English,4,378
18,19,Ukraine,Go_A,"""Shum"" (Шум)",Ukrainian,5,364
15,16,Finland,Blind Channel,"""Dark Side""",English,6,301
5,6,Malta,Destiny,"""Je me casse""",English[k],7,255
17,18,Lithuania,The Roop,"""Discoteque""",English,8,220
4,5,Russia,Manizha,"""Russian Woman""","Russian, English",9,204
9,10,Greece,Stefania,"""Last Dance""",English,10,170
16,17,Bulgaria,Victoria,"""Growing Up Is Getting Old""",English,11,170
6,7,Portugal,The Black Mamba,"""Love Is on My Side""",English,12,153
13,14,Moldova,Natalia Gordienko,"""Sugar""",English,13,115
24,25,Sweden,Tusse,"""Voices""",English,14,109
7,8,Serbia,Hurricane,"""Loco Loco""",Serbian[p],15,102
0,1,Cyprus,Elena Tsagrinou,"""El Diablo""",English[h],16,94
2,3,Israel,Eden Alene,"""Set Me Free""",English[i],17,93
21,22,Norway,Tix,"""Fallen Angel""",English,18,75
3,4,Belgium,Hooverphonic,"""The Wrong Place""",English,19,74
20,21,Azerbaijan,Efendi,"""Mata Hari""",English[j],20,65
1,2,Albania,Anxhela Peristeri,"""Karma""",Albanian,21,57
25,26,San Marin,Senhit[l],"""Adrenalina""",English[m],22,50
22,23,Netherlands,Jeangu Macrooy,"""Birth of a New Age""","English, Sranan Tongo",23,11
12,13,Spain,Blas Cantó,"""Voy a quedarme""",Spanish,24,6
14,15,Germany,Jendrik,"""I Don't Feel Hate""",English[r],25,3
8,9,United Kingdom,James Newman,"""Embers""",English,26,0
