year,0,value,shortmonth,date
2019,2661022,2689339,Jan,01/01/2020
2019,1085147,2604322,Feb,01/02/2020
2019,193658,2760136,Mar,01/03/2020
2019,2917,2926685,Apr,01/04/2020
2019,1663,2773091,May,01/05/2020
2019,2565,2880041,Jun,01/06/2020
2019,3782,2991189,Jul,01/07/2020
2019,8658,2520134,Aug,01/08/2020
2019,13684,2272883,Sep,01/09/2020
2019,27386,2496568,Oct,01/10/2020
2019,56673,2441274,Nov,01/11/2020
2019,58673,2526387,Dec,01/12/2020
2020,,2661022,Jan,01/01/2020
2020,,1085147,Feb,01/02/2020
2020,,193658,Mar,01/03/2020
2020,,2917,Apr,01/04/2020
2020,,1663,May,01/05/2020
2020,,2565,Jun,01/06/2020
2020,,3782,Jul,01/07/2020
2020,,8658,Aug,01/08/2020
2020,,13684,Sep,01/09/2020
2020,,27386,Oct,01/10/2020
2020,,56673,Nov,01/11/2020
2020,,58673,Dec,01/12/2020
