LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
Czech Republic,TOUR_REC_EXP,INT_REC,USD,A,2008,8801.611,
Czech Republic,TOUR_REC_EXP,INT_REC,USD,A,2009,7874.834,
Czech Republic,TOUR_REC_EXP,INT_REC,USD,A,2010,8065.4,
Czech Republic,TOUR_REC_EXP,INT_REC,USD,A,2011,8929,
Czech Republic,TOUR_REC_EXP,INT_REC,USD,A,2012,8174.1,
Czech Republic,TOUR_REC_EXP,INT_REC,USD,A,2013,7792.6,
Czech Republic,TOUR_REC_EXP,INT_REC,USD,A,2014,7619.6,
Czech Republic,TOUR_REC_EXP,INT_REC,USD,A,2015,6766.5,
Czech Republic,TOUR_REC_EXP,INT_REC,USD,A,2016,7039.7,
Czech Republic,TOUR_REC_EXP,INT_REC,USD,A,2017,7655.4,
Czech Republic,TOUR_REC_EXP,INT_REC,USD,A,2018,8290.4,
France,TOUR_REC_EXP,INT_REC,USD,A,2008,66878.091,
France,TOUR_REC_EXP,INT_REC,USD,A,2009,58610.002,
France,TOUR_REC_EXP,INT_REC,USD,A,2010,56690.1,
France,TOUR_REC_EXP,INT_REC,USD,A,2011,65642.1,
France,TOUR_REC_EXP,INT_REC,USD,A,2012,64309.9,
France,TOUR_REC_EXP,INT_REC,USD,A,2013,66150.7,
France,TOUR_REC_EXP,INT_REC,USD,A,2014,67023.9,
France,TOUR_REC_EXP,INT_REC,USD,A,2015,66434.2,
France,TOUR_REC_EXP,INT_REC,USD,A,2016,63345,
France,TOUR_REC_EXP,INT_REC,USD,A,2017,67393.8,
France,TOUR_REC_EXP,INT_REC,USD,A,2018,73218.9,
Iceland,TOUR_REC_EXP,INT_REC,USD,A,2008,836.54,
Iceland,TOUR_REC_EXP,INT_REC,USD,A,2009,1257.888,
Iceland,TOUR_REC_EXP,INT_REC,USD,A,2010,1331.972,
Iceland,TOUR_REC_EXP,INT_REC,USD,A,2011,1694.596,
Iceland,TOUR_REC_EXP,INT_REC,USD,A,2012,1914.146,
Iceland,TOUR_REC_EXP,INT_REC,USD,A,2013,2264.2,
Iceland,TOUR_REC_EXP,INT_REC,USD,A,2014,2608.9,
Iceland,TOUR_REC_EXP,INT_REC,USD,A,2015,2801.4,
Iceland,TOUR_REC_EXP,INT_REC,USD,A,2016,3828.6,
Iceland,TOUR_REC_EXP,INT_REC,USD,A,2017,4693.2,
Iceland,TOUR_REC_EXP,INT_REC,USD,A,2018,3139.6,
Japan,TOUR_REC_EXP,INT_REC,USD,A,2008,13790.6,
Japan,TOUR_REC_EXP,INT_REC,USD,A,2009,12506.2,
Japan,TOUR_REC_EXP,INT_REC,USD,A,2010,15334.8,
Japan,TOUR_REC_EXP,INT_REC,USD,A,2011,12500.1,
Japan,TOUR_REC_EXP,INT_REC,USD,A,2012,16192.2,
Japan,TOUR_REC_EXP,INT_REC,USD,A,2013,16904.6,
Japan,TOUR_REC_EXP,INT_REC,USD,A,2014,20828.9,
Japan,TOUR_REC_EXP,INT_REC,USD,A,2015,27300.6,
Japan,TOUR_REC_EXP,INT_REC,USD,A,2016,33382.8,
Japan,TOUR_REC_EXP,INT_REC,USD,A,2017,36967.1,
Japan,TOUR_REC_EXP,INT_REC,USD,A,2018,45276.1,
Japan,TOUR_REC_EXP,INT_REC,USD,A,2019,49206.3,
Morocco,TOUR_REC_EXP,INT_REC,USD,A,2008,8885.294,
Morocco,TOUR_REC_EXP,INT_REC,USD,A,2009,7980.057,
Morocco,TOUR_REC_EXP,INT_REC,USD,A,2010,8175.286,
Morocco,TOUR_REC_EXP,INT_REC,USD,A,2011,9100.423,
Morocco,TOUR_REC_EXP,INT_REC,USD,A,2012,8491.421,
Morocco,TOUR_REC_EXP,INT_REC,USD,A,2013,8201.688,
Morocco,TOUR_REC_EXP,INT_REC,USD,A,2014,9070.542,
Morocco,TOUR_REC_EXP,INT_REC,USD,A,2015,7764.412,
Morocco,TOUR_REC_EXP,INT_REC,USD,A,2016,7922.677,
Morocco,TOUR_REC_EXP,INT_REC,USD,A,2017,9086.243,
Morocco,TOUR_REC_EXP,INT_REC,USD,A,2018,9519.997,
Morocco,TOUR_REC_EXP,INT_REC,USD,A,2019,10012.69,
