,year,date,value
0,2020,01-Jan,2661022
1,2020,02-Jan,1085147
2,2020,03-Jan,193658
3,2020,04-Jan,2917
4,2020,05-Jan,1663
5,2020,06-Jan,2565
6,2020,07-Jan,3782
7,2020,08-Jan,8658
8,2020,09-Jan,13684
9,2020,10-Jan,27386
10,2020,11-Jan,56673
11,2020,12-Jan,58673
12,2021,01-Jan,46522
13,2021,02-Jan,7355
14,2021,03-Jan,12276
15,2021,04-Jan,10853
16,2021,05-Jan,10035
17,2021,06-Jan,9251
18,2021,07-Jan,51055
19,2021,08-Jan,25916
20,2021,09-Jan,17720
21,2021,10-Jan,22100
22,2021,11-Jan,20700
23,2021,12-Jan,
