,year,date,value
0,2019,01-01,2689339
1,2019,02-01,2604322
2,2019,03-01,2760136
3,2019,04-01,2926685
4,2019,05-01,2773091
5,2019,06-01,2880041
6,2019,07-01,2991189
7,2019,08-01,2520134
8,2019,09-01,2272883
9,2019,10-01,2496568
10,2019,11-01,2441274
11,2019,12-01,2526387
12,2020,01-01,2661022
13,2020,02-01,1085147
14,2020,03-01,193658
15,2020,04-01,2917
16,2020,05-01,1663
17,2020,06-01,2565
18,2020,07-01,3782
19,2020,08-01,8658
20,2020,09-01,13684
21,2020,10-01,27386
22,2020,11-01,56673
23,2020,12-01,58673
