Series Name,Series Code,Time,Time Code,Value
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,1996,YR1996,1.246093722
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,1997,YR1997,1.303695895
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,1998,YR1998,1.310215784
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,1999,YR1999,1.242171186
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2000,YR2000,1.139915259
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2001,YR2001,1.295601592
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2002,YR2002,1.328310232
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2003,YR2003,2.199493164
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2004,YR2004,2.271831219
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2005,YR2005,2.311341632
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2006,YR2006,1.577072828
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2007,YR2007,1.54848703
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2008,YR2008,1.548152033
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2009,YR2009,1.873824703
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2010,YR2010,1.765078466
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2011,YR2011,1.346678067
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2012,YR2012,1.772849108
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2013,YR2013,2.031099713
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2014,YR2014,2.409112032
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2015,YR2015,3.477077174
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2016,YR2016,4.122612502
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2017,YR2017,4.223578258
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2018,YR2018,4.869289996
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2019,YR2019,5.439336442
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/16/2021,,,,
