year,0,value,shortmonth,date
2019,2661022,2689339,Jan,01/01/2019
2019,1085147,2604322,Feb,02/01/2019
2019,193658,2760136,Mar,03/01/2019
2019,2917,2926685,Apr,04/01/2019
2019,1663,2773091,May,05/01/2019
2019,2565,2880041,Jun,06/01/2019
2019,3782,2991189,Jul,07/01/2019
2019,8658,2520134,Aug,08/01/2019
2019,13684,2272883,Sep,09/01/2019
2019,27386,2496568,Oct,10/01/2019
2019,56673,2441274,Nov,11/01/2019
2019,58673,2526387,Dec,12/01/2019
2020,,2661022,Jan,01/01/2020
2020,,1085147,Feb,02/01/2020
2020,,193658,Mar,03/01/2020
2020,,2917,Apr,04/01/2020
2020,,1663,May,05/01/2020
2020,,2565,Jun,06/01/2020
2020,,3782,Jul,07/01/2020
2020,,8658,Aug,08/01/2020
2020,,13684,Sep,09/01/2020
2020,,27386,Oct,10/01/2020
2020,,56673,Nov,11/01/2020
2020,,58673,Dec,12/01/2020
